Year,Publication Type,Title,Authors
2013,Poster,Local Component Analysis,Nicolas Le Roux; Francis R. Bach
2013,Oral,Regularized Auto-Encoders Estimate Local Statistics,Guillaume Alain; Yoshua Bengio; Salah Rifai
2013,Poster,Cutting Recursive Autoencoder Trees,Christian Scheible; Hinrich Schütze
2013,Poster,Efficient Learning of Domain-invariant Image Representations,Judy Hoffman; Erik Rodner; Jeff Donahue; Kate Saenko; Trevor Darrell
2013,Oral,Barnes-Hut-SNE,Laurens van der Maaten
2013,Poster,The Diagonalized Newton Algorithm for Nonnegative Matrix Factorization,Hugo Van hamme
2013,Oral,Feature grouping from spatially constrained multiplicative interaction,Felix Bauer; Roland Memisevic
2013,Poster,Block Coordinate Descent for Sparse NMF,Vamsi K. Potluru; Sergey M. Plis; Jonathan Le Roux; Barak A. Pearlmutter; Vince D. Calhoun; Thomas P. Hayes
2013,Oral,Discrete Restricted Boltzmann Machines,Guido Montúfar; Jason Morton
2013,Oral,The Neural Representation Benchmark and its Evaluation on Brain and Machine,Charles F. Cadieu; Ha Hong; Dan Yamins; Nicolas Pinto; Najib J. Majaj; James J. DiCarlo
2013,Poster,Metric-Free Natural Gradient for Joint-Training of Boltzmann Machines,Guillaume Desjardins; Razvan Pascanu; Aaron C. Courville; Yoshua Bengio
2013,Oral,Information Theoretic Learning with Infinitely Divisible Kernels,Luis Gonzalo Sánchez Giraldo; José C. Príncipe
2013,Oral,Stochastic Pooling for Regularization of Deep Convolutional Neural Networks,Matthew D. Zeiler; Rob Fergus
2013,Oral,Complexity of Representation and Inference in Compositional Models with Part Sharing,Alan L. Yuille; Roozbeh Mottaghi
2013,Oral,Indoor Semantic Segmentation using depth information,Camille Couprie; Clément Farabet; Laurent Najman; Yann LeCun
2013,Poster,Saturating Auto-Encoder,Rostislav Goroshin; Yann LeCun
2013,Oral,Feature Learning in Deep Neural Networks - A Study on Speech Recognition Tasks,Dong Yu; Michael L. Seltzer; Jinyu Li; Jui-Ting Huang; Frank Seide
2013,Poster,Jitter-Adaptive Dictionary Learning - Application to Multi-Trial Neuroelectric Signals,Sebastian Hitziger; Maureen Clerc; Alexandre Gramfort; Sandrine Saillet; Christian G. Bénar; Théodore Papadopoulo
2013,Poster,Training Neural Networks with Stochastic Hessian-Free Optimization,Ryan Kiros
2013,Poster,"Adaptive learning rates and parallelization for stochastic, sparse, non-smooth gradients",Tom Schaul; Yann LeCun
2013,Oral,Discriminative Recurrent Sparse Auto-Encoders,Jason Tyler Rolfe; Yann LeCun
2013,Oral,Knowledge Matters - Importance of Prior Information for Optimization,Çaglar Gülçehre; Yoshua Bengio
2013,Oral,Herded Gibbs Sampling,Luke Bornn; Yutian Chen; Nando de Freitas; Mareija Eskelin; Jing Fang; Max Welling
2014,Poster,On Fast Dropout and its Applicability to Recurrent Networks.,Justin Bayer; Christian Osendorfer; Nutan Chen; Sebastian Urban; Patrick van der Smagt
2014,Poster,Bounding the Test Log-Likelihood of Generative Models.,Yoshua Bengio; Li Yao
2014,Oral,Learned versus Hand-Designed Feature Representations for 3d Agglomeration.,John A. Bogovic; Gary B. Huang; Viren Jain
2014,Oral,Spectral Networks and Locally Connected Networks on Graphs.,Joan Bruna; Wojciech Zaremba; Arthur Szlam; Yann LeCun
2014,Poster,Zero-Shot Learning and Clustering for Semantic Utterance Classification.,Yann N. Dauphin; Gökhan Tür; Dilek Hakkani-Tür; Larry P. Heck
2014,Oral,Sequentially Generated Instance-Dependent Image Representations for Classification.,Gabriel Dulac-Arnold; Ludovic Denoyer; Nicolas Thome; Matthieu Cord; Patrick Gallinari
2014,Poster,Deep Convolutional Ranking for Multilabel Image Annotation.,Yunchao Gong; Yangqing Jia; Thomas Leung; Alexander Toshev; Sergey Ioffe
2014,Oral,Multi-digit Number Recognition from Street View Imagery using Deep Convolutional Neural Networks.,Ian J. Goodfellow; Yaroslav Bulatov; Julian Ibarz; Sacha Arnoud; Vinay D. Shet
2014,Poster,An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks.,Ian J. Goodfellow; Mehdi Mirza; Xia Da; Aaron C. Courville; Yoshua Bengio
2014,Oral,A Simple Model for Learning Multilingual Compositional Semantics.,Karl Moritz Hermann; Phil Blunsom
2014,Poster,Some Improvements on Deep Convolutional Neural Network Based Image Classification.,Andrew G. Howard
2014,Poster,Deep and Wide Multiscale Recursive Networks for Robust Image Labeling.,Gary B. Huang; Viren Jain
2014,Poster,Learning Human Pose Estimation Features with Convolutional Networks.,Arjun Jain; Jonathan Tompson; Mykhaylo Andriluka; Graham W. Taylor; Christoph Bregler
2014,Poster,The return of AdaBoost.MH - multi-class Hamming trees.,Balázs Kégl
2014,Oral,Auto-Encoding Variational Bayes.,Diederik P. Kingma; Max Welling
2014,Oral,Group-sparse Embeddings in Collective Matrix Factorization.,Arto Klami; Guillaume Bouchard; Abhishek Tripathi
2014,Poster,The role of spatio-temporal synchrony in the encoding of motion.,Kishore Reddy Konda; Roland Memisevic; Vincent Michalski
2014,Poster,A Generative Product-of-Filters Model of Audio.,Dawen Liang; Matthew D. Hoffman; Gautham J. Mysore
2014,Poster,Network In Network.,Min Lin; Qiang Chen; Shuicheng Yan
2014,Poster,k-Sparse Autoencoders.,Alireza Makhzani; Brendan J. Frey
2014,Oral,Sparse similarity-preserving hashing.,Jonathan Masci; Alexander M. Bronstein; Michael M. Bronstein; Pablo Sprechmann; Guillermo Sapiro
2014,Poster,Fast Training of Convolutional Networks through FFTs.,Michaël Mathieu; Mikael Henaff; Yann LeCun
2014,Oral,Zero-Shot Learning by Convex Combination of Semantic Embeddings.,Mohammad Norouzi; Tomas Mikolov; Samy Bengio; Yoram Singer; Jonathon Shlens; Andrea Frome; Greg Corrado; Jeffrey Dean
2014,Poster,How to Construct Deep Recurrent Neural Networks.,Razvan Pascanu; Çaglar Gülçehre; Kyunghyun Cho; Yoshua Bengio
2014,Poster,On the number of inference regions of deep feed forward networks with piece-wise linear activations.,Razvan Pascanu; Guido Montúfar; Yoshua Bengio
2014,Poster,Multi-View Priors for Learning Detectors from Sparse Viewpoint Data.,Bojan Pepik; Michael Stark; Peter V. Gehler; Bernt Schiele
2014,Oral,Learning Transformations for Classification Forests.,Qiang Qiu; Guillermo Sapiro
2014,Poster,Neuronal Synchrony in Complex-Valued Deep Networks.,David P. Reichert; Thomas Serre
2014,Oral,Exact solutions to the nonlinear dynamics of learning in deep linear neural networks.,Andrew M. Saxe; James L. McClelland; Surya Ganguli
2014,Oral,Unit Tests for Stochastic Optimization.,Tom Schaul; Ioannis Antonoglou; David Silver
2014,Oral,"OverFeat - Integrated Recognition, Localization and Detection using Convolutional Networks.",Pierre Sermanet; David Eigen; Xiang Zhang; Michaël Mathieu; Rob Fergus; Yann LeCun
2014,Poster,Intriguing properties of neural networks.,Christian Szegedy; Wojciech Zaremba; Ilya Sutskever; Joan Bruna; Dumitru Erhan; Ian J. Goodfellow; Rob Fergus
2014,Poster,EXMOVES - Classifier-based Features for Scalable Action Recognition.,Du Tran; Lorenzo Torresani
2014,Poster,An empirical analysis of dropout in piecewise linear networks.,David Warde-Farley; Ian J. Goodfellow; Aaron C. Courville; Yoshua Bengio
2014,Oral,Revisiting Natural Gradient for Deep Networks,Razvan Pascanu; Yoshua Bengio
2015,Poster,Multiple Object Recognition with Visual Attention.,Jimmy Ba; Volodymyr Mnih; Koray Kavukcuoglu
2015,Oral,Neural Machine Translation by Jointly Learning to Align and Translate.,Dzmitry Bahdanau; Kyunghyun Cho; Yoshua Bengio
2015,Oral,Reweighted Wake-Sleep.,Jörg Bornschein; Yoshua Bengio
2015,Poster,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs.,Liang-Chieh Chen; George Papandreou; Iasonas Kokkinos; Kevin Murphy; Alan L. Yuille
2015,Poster,Transformation Properties of Learned Visual Representations.,Taco S. Cohen; Max Welling
2015,Poster,Generative Modeling of Convolutional Neural Networks.,Jifeng Dai; Ying Nian Wu
2015,Poster,Scheduled denoising autoencoders.,Krzysztof J. Geras; Charles A. Sutton
2015,Poster,Explaining and Harnessing Adversarial Examples.,Ian J. Goodfellow; Jonathon Shlens; Christian Szegedy
2015,Oral,Qualitatively characterizing neural network optimization problems.,Ian J. Goodfellow; Oriol Vinyals
2015,Oral,The local low-dimensionality of natural images.,Olivier J. Hénaff; Johannes Ballé; Neil C. Rabinowitz; Eero P. Simoncelli
2015,Poster,Modeling Compositionality with Multiplicative Recurrent Neural Networks.,Ozan Irsoy; Claire Cardie
2015,Oral,Deep Structured Output Learning for Unconstrained Text Recognition.,Max Jaderberg; Karen Simonyan; Andrea Vedaldi; Andrew Zisserman
2015,Poster,Adam - A Method for Stochastic Optimization.,Diederik P. Kingma; Jimmy Ba
2015,Poster,Speeding-up Convolutional Neural Networks Using Fine-tuned CP-Decomposition.,Vadim Lebedev; Yaroslav Ganin; Maksim Rakhuba; Ivan V. Oseledets; Victor S. Lempitsky
2015,Poster,Joint RNN-Based Greedy Parsing and Word Composition.,Joël Legrand; Ronan Collobert
2015,Poster,Move Evaluation in Go Using Deep Convolutional Neural Networks.,Chris J. Maddison; Aja Huang; Ilya Sutskever; David Silver
2015,Oral,Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN).,Junhua Mao; Wei Xu; Yi Yang; Jiang Wang; Alan L. Yuille
2015,Poster,Zero-bias autoencoders and the benefits of co-adapting features.,Roland Memisevic; Kishore Reddy Konda; David Krueger
2015,Poster,Deep Narrow Boltzmann Machines are Universal Approximators.,Guido Montúfar
2015,Poster,Automatic Discovery and Optimization of Parts for Image Classification.,Sobhan Naderi Parizi; Andrea Vedaldi; Andrew Zisserman; Pedro F. Felzenszwalb
2015,Poster,Techniques for Learning Binary Stochastic Feedforward Neural Networks.,Tapani Raiko; Mathias Berglund; Guillaume Alain; Laurent Dinh
2015,Poster,FitNets - Hints for Thin Deep Nets.,Adriana Romero; Nicolas Ballas; Samira Ebrahimi Kahou; Antoine Chassang; Carlo Gatta; Yoshua Bengio
2015,Oral,Very Deep Convolutional Networks for Large-Scale Image Recognition.,Karen Simonyan; Andrew Zisserman
2015,Poster,Leveraging Monolingual Data for Crosslingual Compositional Word Representations.,Hubert Soyer; Pontus Stenetorp; Akiko Aizawa
2015,Poster,Understanding Locally Competitive Networks.,Rupesh Kumar Srivastava; Jonathan Masci; Faustino J. Gomez; Jürgen Schmidhuber
2015,Oral,Fast Convolutional Nets With fbfft - A GPU Performance Evaluation.,Nicolas Vasilache; Jeff Johnson; Michaël Mathieu; Soumith Chintala; Serkan Piantino; Yann LeCun
2015,Oral,Word Representations via Gaussian Embedding.,Luke Vilnis; Andrew McCallum
2015,Oral,Memory Networks.,Jason Weston; Sumit Chopra; Antoine Bordes
2015,Poster,A Unified Perspective on Multi-Domain and Multi-Task Learning.,Yongxin Yang; Timothy M. Hospedales
2015,Poster,Embedding Entities and Relations for Learning and Inference in Knowledge Bases.,Bishan Yang; Wen-tau Yih; Xiaodong He; Jianfeng Gao; Li Deng
2015,Oral,Object Detectors Emerge in Deep Scene CNNs.,Bolei Zhou; Aditya Khosla; Àgata Lapedriza; Aude Oliva; Antonio Torralba
2016,Poster,Auxiliary Image Regularization for Deep CNNs with Noisy Labels.,Samaneh Azadi; Jiashi Feng; Stefanie Jegelka; Trevor Darrell
2016,Poster,Digging Deep into the Layers of CNNs - In Search of How CNNs Achieve View Invariance.,Amr Bakry; Mohamed Elhoseiny; Tarek El-Gaaly; Ahmed M. Elgammal
2016,Poster,Delving Deeper into Convolutional Networks for Learning Video Representations.,Nicolas Ballas; Li Yao; Chris Pal; Aaron C. Courville
2016,Oral,Density Modeling of Images using a Generalized Normalization Transformation.,Johannes Ballé; Valero Laparra; Eero P. Simoncelli
2016,Poster,Learning Representations from EEG with Deep Recurrent-Convolutional Neural Networks.,Pouya Bashivan; Irina Rish; Mohammed Yeasin; Noel Codella
2016,Poster,A Test of Relative Similarity For Model Selection in Generative Models.,Wacha Bounliphone; Eugene Belilovsky; Matthew B. Blaschko; Ioannis Antonoglou; Arthur Gretton
2016,Poster,An Exploration of Softmax Alternatives Belonging to the Spherical Loss Family.,Alexandre de Brébisson; Pascal Vincent
2016,Poster,Super-Resolution with Deep Convolutional Sufficient Statistics.,Joan Bruna; Pablo Sprechmann; Yann LeCun
2016,Poster,Importance Weighted Autoencoders.,Yuri Burda; Roger B. Grosse; Ruslan Salakhutdinov
2016,Oral,Net2Net - Accelerating Learning via Knowledge Transfer.,Tianqi Chen; Ian J. Goodfellow; Jonathon Shlens
2016,Poster,Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs).,Djork-Arné Clevert; Thomas Unterthiner; Sepp Hochreiter
2016,Poster,Reducing Overfitting in Deep Networks by Decorrelating Representations.,Michael Cogswell; Faruk Ahmed; Ross B. Girshick; Larry Zitnick; Dhruv Batra
2016,Poster,Variational Auto-encoded Deep Gaussian Processes.,Zhenwen Dai; Andreas C. Damianou; Javier González; Neil D. Lawrence
2016,Poster,Predicting distributions with Linearizing Belief Networks.,Yann N. Dauphin; David Grangier
2016,Poster,8-Bit Approximations for Parallelism in Deep Learning.,Tim Dettmers
2016,Poster,Evaluating Prerequisite Qualities for Learning End-to-End Dialog Systems.,Jesse Dodge; Andreea Gane; Xiang Zhang; Antoine Bordes; Sumit Chopra; Alexander H. Miller; Arthur Szlam; Jason Weston
2016,Poster,Deep Linear Discriminant Analysis.,Matthias Dorfer; Rainer Kelz; Gerhard Widmer
2016,Poster,Censoring Representations with an Adversary.,Harrison Edwards; Amos J. Storkey
2016,Poster,Learning Visual Predictive Models of Physics for Playing Billiards.,Katerina Fragkiadaki; Pulkit Agrawal; Sergey Levine; Jitendra Malik
2016,Poster,MuProp - Unbiased Backpropagation for Stochastic Neural Networks.,Shixiang Gu; Sergey Levine; Ilya Sutskever; Andriy Mnih
2016,Oral,Deep Compression - Compressing Deep Neural Network with Pruning, Trained Quantization and Huffman Coding.,Song Han; Huizi Mao; William J. Dally
2016,Poster,Deep Reinforcement Learning in Parameterized Action Space.,Matthew J. Hausknecht; Peter Stone
2016,Poster,Geodesics of learned representations.,Olivier J. Hénaff; Eero P. Simoncelli
2016,Poster,Session-based Recommendations with Recurrent Neural Networks.,Balázs Hidasi; Alexandros Karatzoglou; Linas Baltrunas; Domonkos Tikk
2016,Oral,The Goldilocks Principle - Reading Children's Books with Explicit Memory Representations.,Felix Hill; Antoine Bordes; Sumit Chopra; Jason Weston
2016,Poster,Training CNNs with Low-Rank Filters for Efficient Image Classification.,Yani Ioannou; Duncan P. Robertson; Jamie Shotton; Roberto Cipolla; Antonio Criminisi
2016,Oral,BlackOut - Speeding up Recurrent Neural Network Language Models With Very Large Vocabularies.,Shihao Ji; S. V. N. Vishwanathan; Nadathur Satish; Michael J. Anderson; Pradeep Dubey
2016,Poster,Neural GPUs Learn Algorithms.,Lukasz Kaiser; Ilya Sutskever
2016,Poster,Grid Long Short-Term Memory.,Nal Kalchbrenner; Ivo Danihelka; Alex Graves
2016,Poster,When crowds hold privileges - Bayesian unsupervised representation learning with oracle constraints.,Theofanis Karaletsos; Serge J. Belongie; Gunnar Rätsch
2016,Poster,Compression of Deep Convolutional Neural Networks for Fast and Low Power Mobile Applications.,Yong-Deok Kim; Eunhyeok Park; Sungjoo Yoo; Taelim Choi; Lu Yang; Dongjun Shin
2016,Poster,Surpassing Humans in Boundary Detection using Deep Learning.,Iasonas Kokkinos
2016,Poster,Segmental Recurrent Neural Networks.,Lingpeng Kong; Chris Dyer; Noah A. Smith
2016,Poster,Data-dependent Initializations of Convolutional Neural Networks.,Philipp Krähenbühl; Carl Doersch; Jeff Donahue; Trevor Darrell
2016,Oral,Regularizing RNNs by Stabilizing Activations.,David Krueger; Roland Memisevic
2016,Poster,Neural Random-Access Machines.,Karol Kurach; Marcin Andrychowicz; Ilya Sutskever
2016,Poster,Reasoning in Vector Space - An Exploratory Study of Question Answering.,Moontae Lee; Xiaodong He; Wen-tau Yih; Jianfeng Gao; Li Deng; Paul Smolensky
2016,Poster,Gated Graph Sequence Neural Networks.,Yujia Li; Daniel Tarlow; Marc Brockschmidt; Richard S. Zemel
2016,Oral,Convergent Learning - Do different neural networks learn the same representations?,Yixuan Li; Jason Yosinski; Jeff Clune; Hod Lipson; John E. Hopcroft
2016,Poster,Continuous control with deep reinforcement learning.,Timothy P. Lillicrap; Jonathan J. Hunt; Alexander Pritzel; Nicolas Heess; Tom Erez; Yuval Tassa; David Silver; Daan Wierstra
2016,Oral,Neural Networks with Few Multiplications.,Zhouhan Lin; Matthieu Courbariaux; Roland Memisevic; Yoshua Bengio
2016,Poster,Learning to Diagnose with LSTM Recurrent Neural Networks.,Zachary Chase Lipton; David C. Kale; Charles Elkan; Randall C. Wetzel
2016,Poster,Unifying distillation and privileged information.,David Lopez-Paz; Léon Bottou; Bernhard Schölkopf; Vladimir Vapnik
2016,Oral,The Variational Fair Autoencoder.,Christos Louizos; Kevin Swersky; Yujia Li; Max Welling; Richard S. Zemel
2016,Poster,Multi-task Sequence to Sequence Learning.,Minh-Thang Luong; Quoc V. Le; Ilya Sutskever; Oriol Vinyals; Lukasz Kaiser
2016,Oral,Generating Images from Captions with Attention.,Elman Mansimov; Emilio Parisotto; Lei Jimmy Ba; Ruslan Salakhutdinov
2016,Poster,Diversity Networks.,Zelda Mariet; Suvrit Sra
2016,Poster,Deep multi-scale video prediction beyond mean square error.,Michaël Mathieu; Camille Couprie; Yann LeCun
2016,Poster,Recurrent Gaussian Processes.,César Lincoln C. Mattos; Zhenwen Dai; Andreas C. Damianou; Jeremy Forth; Guilherme A. Barreto; Neil D. Lawrence
2016,Poster,All you need is a good init.,Dmytro Mishkin; Jiri Matas
2016,Poster,Distributional Smoothing by Virtual Adversarial Examples.,Takeru Miyato; Shin-ichi Maeda; Masanori Koyama; Ken Nakae; Shin Ishii
2016,Poster,ACDC - A Structured Efficient Linear Layer.,Marcin Moczulski; Misha Denil; Jeremy Appleyard; Nando de Freitas
2016,Poster,SparkNet - Training Deep Networks in Spark.,Philipp Moritz; Robert Nishihara; Ion Stoica; Michael I. Jordan
2016,Oral,Neural Programmer - Inducing Latent Programs with Gradient Descent.,Arvind Neelakantan; Quoc V. Le; Ilya Sutskever
2016,Poster,Data-Dependent Path Normalization in Neural Networks.,Behnam Neyshabur; Ryota Tomioka; Ruslan Salakhutdinov; Nathan Srebro
2016,Poster,Actor-Mimic - Deep Multitask and Transfer Reinforcement Learning.,Emilio Parisotto; Lei Jimmy Ba; Ruslan Salakhutdinov
2016,Poster,Data Representation and Compression Using Linear-Programming Approximations.,Hristo S. Paskov; John C. Mitchell; Trevor J. Hastie
2016,Poster,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks.,Alec Radford; Luke Metz; Soumith Chintala
2016,Poster,Sequence Level Training with Recurrent Neural Networks.,Marc'Aurelio Ranzato; Sumit Chopra; Michael Auli; Wojciech Zaremba
2016,Poster,Neural Programmer-Interpreters.,Scott E. Reed; Nando de Freitas
2016,Poster,Metric Learning with Adaptive Density Discrimination.,Oren Rippel; Manohar Paluri; Piotr Dollár; Lubomir D. Bourdev
2016,Poster,Reasoning about Entailment with Neural Attention.,Tim Rocktäschel; Edward Grefenstette; Karl Moritz Hermann; Tomás Kociský; Phil Blunsom
2016,Poster,Policy Distillation.,Andrei A. Rusu; Sergio Gomez Colmenarejo; Çaglar Gülçehre; Guillaume Desjardins; James Kirkpatrick; Razvan Pascanu; Volodymyr Mnih; Koray Kavukcuoglu; Raia Hadsell
2016,Poster,Adversarial Manipulation of Deep Representations.,Sara Sabour; Yanshuai Cao; Fartash Faghri; David J. Fleet
2016,Poster,Prioritized Experience Replay.,Tom Schaul; John Quan; Ioannis Antonoglou; David Silver
2016,Poster,High-Dimensional Continuous Control Using Generalized Advantage Estimation.,John Schulman; Philipp Moritz; Sergey Levine; Michael I. Jordan; Pieter Abbeel
2016,Poster,Modeling Visual Representations - Defining Properties and Deep Approximations,Stefano Soatto; Alessandro Chiuso
2016,Poster,Unsupervised and Semi-supervised Learning with Categorical Generative Adversarial Networks.,Jost Tobias Springenberg
2016,Poster,Convolutional neural networks with low-rank regularization.,Cheng Tai; Tong Xiao; Xiaogang Wang; Weinan E
2016,Oral,A note on the evaluation of generative models.,Lucas Theis; Aäron van den Oord; Matthias Bethge
2016,Poster,Better Computer Go Player with Neural Network and Long-term Prediction.,Yuandong Tian; Yan Zhu
2016,Poster,Variable Rate Image Compression with Recurrent Neural Networks.,George Toderici; Sean M. O'Malley; Sung Jin Hwang; Damien Vincent; David Minnen; Shumeet Baluja; Michele Covell; Rahul Sukthankar
2016,Poster,Particular object retrieval with integral max-pooling of CNN activations.,Giorgos Tolias; Ronan Sicre; Hervé Jégou
2016,Poster,Variational Gaussian Process.,Dustin Tran; Rajesh Ranganath; David M. Blei
2016,Oral,Order-Embeddings of Images and Language.,Ivan Vendrov; Ryan Kiros; Sanja Fidler; Raquel Urtasun
2016,Poster,Order Matters - Sequence to sequence for sets.,Oriol Vinyals; Samy Bengio; Manjunath Kudlur
2016,Poster,Large-Scale Approximate Kernel Canonical Correlation Analysis.,Weiran Wang; Karen Livescu
2016,Poster,Towards AI-Complete Question Answering - A Set of Prerequisite Toy Tasks.,Jason Weston; Antoine Bordes; Sumit Chopra; Tomas Mikolov
2016,Oral,Towards Universal Paraphrastic Sentence Embeddings.,John Wieting; Mohit Bansal; Kevin Gimpel; Karen Livescu
2016,Poster,Multi-Scale Context Aggregation by Dilated Convolutions.,Fisher Yu; Vladlen Koltun
2017,Poster,A recurrent neural network without chaos.,Thomas Laurent; James von Brecht
2017,Poster,Sample Efficient Actor-Critic with Experience Replay.,Ziyu Wang; Victor Bapst; Nicolas Heess; Volodymyr Mnih; Rémi Munos; Koray Kavukcuoglu; Nando de Freitas
2017,Poster,Quasi-Recurrent Neural Networks.,James Bradbury; Stephen Merity; Caiming Xiong; Richard Socher
2017,Poster,A Compositional Object-Based Approach to Learning Physical Dynamics.,Michael Chang; Tomer Ullman; Antonio Torralba; Joshua B. Tenenbaum
2017,Poster,Learning Invariant Feature Spaces to Transfer Skills with Reinforcement Learning.,Abhishek Gupta; Coline Devin; Yuxuan Liu; Pieter Abbeel; Sergey Levine
2017,Poster,Pruning Filters for Efficient ConvNets.,Hao Li; Asim Kadav; Igor Durdanovic; Hanan Samet; Hans Peter Graf
